;PC Software:StarLab Version 3.80 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:22/11/2022 at 17:54:50
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:947746)  VG2.54 (s/n:858327)

;Channel A:Details
;Name:3A
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:24.50mW             
;Max:88.20mW             
;Average:67.97mW             
;Std.Dev.:20.61mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 22/11/2022 at 17:54:50
  Timestamp   	  Channel A  	
         0.000	  8.820e-02 	
         0.064	  8.810e-02 	
         0.128	  8.800e-02 	
         0.191	  8.800e-02 	
         0.255	  8.790e-02 	
         0.320	  8.780e-02 	
         0.384	  8.770e-02 	
         0.447	  8.760e-02 	
         0.511	  8.740e-02 	
         0.576	  8.730e-02 	
         0.640	  8.720e-02 	
         0.704	  8.700e-02 	
         0.767	  8.690e-02 	
         0.832	  8.680e-02 	
         0.896	  8.660e-02 	
         0.960	  8.650e-02 	
         1.024	  8.640e-02 	
         1.087	  8.630e-02 	
         1.152	  8.620e-02 	
         1.216	  8.610e-02 	
         1.280	  8.600e-02 	
         1.343	  8.580e-02 	
         1.407	  8.570e-02 	
         1.471	  8.560e-02 	
         1.568	  8.540e-02 	
         1.632	  8.530e-02 	
         1.696	  8.520e-02 	
         1.760	  8.510e-02 	
         1.823	  8.500e-02 	
         1.888	  8.490e-02 	
         1.952	  8.490e-02 	
         2.016	  8.480e-02 	
         2.080	  8.470e-02 	
         2.144	  8.460e-02 	
         2.207	  8.450e-02 	
         2.271	  8.440e-02 	
         2.367	  8.440e-02 	
         2.432	  8.430e-02 	
         2.496	  8.430e-02 	
         2.560	  8.430e-02 	
         2.623	  8.430e-02 	
         2.687	  8.430e-02 	
         2.751	  8.430e-02 	
         2.816	  8.430e-02 	
         2.879	  8.430e-02 	
         2.944	  8.440e-02 	
         3.008	  8.440e-02 	
         3.071	  8.450e-02 	
         3.168	  8.450e-02 	
         3.232	  8.460e-02 	
         3.295	  8.470e-02 	
         3.360	  8.480e-02 	
         3.424	  8.500e-02 	
         3.487	  8.510e-02 	
         3.552	  8.530e-02 	
         3.616	  8.550e-02 	
         3.679	  8.570e-02 	
         3.744	  8.580e-02 	
         3.808	  8.600e-02 	
         3.871	  8.620e-02 	
         3.968	  8.640e-02 	
         4.032	  8.660e-02 	
         4.096	  8.670e-02 	
         4.160	  8.690e-02 	
         4.224	  8.700e-02 	
         4.287	  8.710e-02 	
         4.351	  8.720e-02 	
         4.416	  8.730e-02 	
         4.480	  8.740e-02 	
         4.545	  8.750e-02 	
         4.608	  8.760e-02 	
         4.672	  8.760e-02 	
         4.767	  8.770e-02 	
         4.832	  8.770e-02 	
         4.896	  8.770e-02 	
         4.959	  8.770e-02 	
         5.023	  8.770e-02 	
         5.087	  8.770e-02 	
         5.152	  8.770e-02 	
         5.216	  8.760e-02 	
         5.279	  8.760e-02 	
         5.344	  8.760e-02 	
         5.407	  8.750e-02 	
         5.471	  8.740e-02 	
         5.568	  8.730e-02 	
         5.631	  8.710e-02 	
         5.695	  8.700e-02 	
         5.761	  8.680e-02 	
         5.823	  8.660e-02 	
         5.887	  8.640e-02 	
         5.952	  8.620e-02 	
         6.016	  8.600e-02 	
         6.080	  8.580e-02 	
         6.144	  8.560e-02 	
         6.208	  8.540e-02 	
         6.272	  8.530e-02 	
         6.368	  8.520e-02 	
         6.432	  8.510e-02 	
         6.496	  8.500e-02 	
         6.560	  8.490e-02 	
         6.623	  8.480e-02 	
         6.687	  8.470e-02 	
         6.752	  8.460e-02 	
         6.815	  8.440e-02 	
         6.880	  8.430e-02 	
         6.944	  8.420e-02 	
         7.008	  8.400e-02 	
         7.071	  8.390e-02 	
         7.168	  8.370e-02 	
         7.233	  8.350e-02 	
         7.296	  8.330e-02 	
         7.359	  8.310e-02 	
         7.424	  8.290e-02 	
         7.488	  8.260e-02 	
         7.552	  8.240e-02 	
         7.615	  8.220e-02 	
         7.680	  8.200e-02 	
         7.744	  8.180e-02 	
         7.808	  8.160e-02 	
         7.872	  8.140e-02 	
         7.967	  8.120e-02 	
         8.032	  8.100e-02 	
         8.096	  8.080e-02 	
         8.159	  8.070e-02 	
         8.224	  8.050e-02 	
         8.288	  8.040e-02 	
         8.352	  8.020e-02 	
         8.416	  8.010e-02 	
         8.480	  8.000e-02 	
         8.544	  7.990e-02 	
         8.608	  7.980e-02 	
         8.672	  7.970e-02 	
         8.768	  7.960e-02 	
         8.832	  7.950e-02 	
         8.896	  7.940e-02 	
         8.960	  7.940e-02 	
         9.023	  7.930e-02 	
         9.087	  7.930e-02 	
         9.152	  7.930e-02 	
         9.216	  7.930e-02 	
         9.280	  7.940e-02 	
         9.344	  7.940e-02 	
         9.408	  7.950e-02 	
         9.472	  7.960e-02 	
         9.568	  7.970e-02 	
         9.632	  7.990e-02 	
         9.696	  8.000e-02 	
         9.760	  8.010e-02 	
         9.823	  8.020e-02 	
         9.887	  8.040e-02 	
         9.952	  8.050e-02 	
        10.016	  8.060e-02 	
        10.080	  8.070e-02 	
        10.144	  8.070e-02 	
        10.208	  8.070e-02 	
        10.271	  8.070e-02 	
        10.368	  8.070e-02 	
        10.432	  8.060e-02 	
        10.496	  8.060e-02 	
        10.559	  8.050e-02 	
        10.623	  8.040e-02 	
        10.687	  8.020e-02 	
        10.752	  8.010e-02 	
        10.816	  7.990e-02 	
        10.879	  7.970e-02 	
        10.944	  7.940e-02 	
        11.007	  7.910e-02 	
        11.072	  7.880e-02 	
        11.168	  7.850e-02 	
        11.232	  7.810e-02 	
        11.296	  7.770e-02 	
        11.360	  7.730e-02 	
        11.424	  7.690e-02 	
        11.487	  7.650e-02 	
        11.552	  7.610e-02 	
        11.616	  7.560e-02 	
        11.680	  7.510e-02 	
        11.744	  7.460e-02 	
        11.808	  7.410e-02 	
        11.871	  7.360e-02 	
        11.968	  7.310e-02 	
        12.032	  7.250e-02 	
        12.095	  7.200e-02 	
        12.160	  7.150e-02 	
        12.224	  7.100e-02 	
        12.287	  7.040e-02 	
        12.352	  6.990e-02 	
        12.416	  6.940e-02 	
        12.480	  6.880e-02 	
        12.543	  6.830e-02 	
        12.607	  6.770e-02 	
        12.671	  6.720e-02 	
        12.768	  6.650e-02 	
        12.832	  6.590e-02 	
        12.896	  6.520e-02 	
        12.959	  6.450e-02 	
        13.024	  6.390e-02 	
        13.087	  6.320e-02 	
        13.152	  6.260e-02 	
        13.215	  6.200e-02 	
        13.280	  6.140e-02 	
        13.344	  6.090e-02 	
        13.407	  6.030e-02 	
        13.472	  5.980e-02 	
        13.568	  5.930e-02 	
        13.631	  5.870e-02 	
        13.695	  5.820e-02 	
        13.760	  5.770e-02 	
        13.824	  5.720e-02 	
        13.888	  5.670e-02 	
        13.952	  5.620e-02 	
        14.015	  5.570e-02 	
        14.080	  5.530e-02 	
        14.144	  5.490e-02 	
        14.208	  5.450e-02 	
        14.271	  5.410e-02 	
        14.335	  5.370e-02 	
        14.432	  5.330e-02 	
        14.496	  5.290e-02 	
        14.560	  5.240e-02 	
        14.624	  5.200e-02 	
        14.687	  5.150e-02 	
        14.752	  5.110e-02 	
        14.816	  5.060e-02 	
        14.880	  5.010e-02 	
        14.943	  4.960e-02 	
        15.008	  4.900e-02 	
        15.072	  4.850e-02 	
        15.135	  4.800e-02 	
        15.232	  4.750e-02 	
        15.296	  4.700e-02 	
        15.360	  4.650e-02 	
        15.424	  4.610e-02 	
        15.487	  4.570e-02 	
        15.552	  4.530e-02 	
        15.616	  4.490e-02 	
        15.680	  4.450e-02 	
        15.744	  4.410e-02 	
        15.808	  4.380e-02 	
        15.872	  4.350e-02 	
        15.935	  4.320e-02 	
        16.032	  4.290e-02 	
        16.096	  4.250e-02 	
        16.159	  4.200e-02 	
        16.224	  4.110e-02 	
        16.288	  3.990e-02 	
        16.352	  3.850e-02 	
        16.416	  3.700e-02 	
        16.480	  3.550e-02 	
        16.544	  3.400e-02 	
        16.608	  3.260e-02 	
        16.671	  3.130e-02 	
        16.736	  3.020e-02 	
        16.832	  2.920e-02 	
        16.896	  2.840e-02 	
        16.960	  2.780e-02 	
        17.024	  2.740e-02 	
        17.087	  2.710e-02 	
        17.151	  2.710e-02 	
        17.216	  2.710e-02 	
        17.279	  2.740e-02 	
        17.344	  2.790e-02 	
        17.408	  2.850e-02 	
        17.472	  2.930e-02 	
        17.535	  3.030e-02 	
        17.632	  3.150e-02 	
        17.695	  3.280e-02 	
        17.759	  3.430e-02 	
        17.824	  3.590e-02 	
        17.888	  3.730e-02 	
        17.952	  3.850e-02 	
        18.016	  3.930e-02 	
        18.080	  3.980e-02 	
        18.144	  4.020e-02 	
        18.208	  4.060e-02 	
        18.272	  4.100e-02 	
        18.335	  4.150e-02 	
        18.432	  4.210e-02 	
        18.496	  4.290e-02 	
        18.560	  4.370e-02 	
        18.623	  4.440e-02 	
        18.687	  4.500e-02 	
        18.751	  4.560e-02 	
        18.815	  4.620e-02 	
        18.880	  4.670e-02 	
        18.944	  4.710e-02 	
        19.008	  4.730e-02 	
        19.072	  4.700e-02 	
        19.136	  4.620e-02 	
        19.232	  4.520e-02 	
        19.296	  4.380e-02 	
        19.360	  4.240e-02 	
        19.424	  4.090e-02 	
        19.488	  3.940e-02 	
        19.552	  3.810e-02 	
        19.616	  3.690e-02 	
        19.679	  3.600e-02 	
        19.744	  3.520e-02 	
        19.808	  3.460e-02 	
        19.871	  3.430e-02 	
        19.935	  3.420e-02 	
        20.032	  3.430e-02 	
        20.096	  3.460e-02 	
        20.160	  3.510e-02 	
        20.223	  3.570e-02 	
        20.288	  3.650e-02 	
        20.351	  3.750e-02 	
        20.416	  3.860e-02 	
        20.480	  3.980e-02 	
        20.544	  4.100e-02 	
        20.608	  4.190e-02 	
        20.671	  4.250e-02 	
        20.735	  4.240e-02 	
        20.832	  4.190e-02 	
        20.895	  4.090e-02 	
        20.960	  3.960e-02 	
        21.024	  3.810e-02 	
        21.087	  3.640e-02 	
        21.151	  3.470e-02 	
        21.216	  3.300e-02 	
        21.280	  3.140e-02 	
        21.344	  3.000e-02 	
        21.408	  2.870e-02 	
        21.472	  2.760e-02 	
        21.536	  2.660e-02 	
        21.632	  2.590e-02 	
        21.696	  2.530e-02 	
        21.759	  2.490e-02 	
        21.824	  2.460e-02 	
        21.887	  2.450e-02 	
        21.951	  2.450e-02 	
        22.016	  2.470e-02 	
        22.079	  2.490e-02 	
        22.144	  2.520e-02 	
        22.207	  2.560e-02 	
        22.272	  2.610e-02 	
        22.335	  2.670e-02 	
        22.432	  2.730e-02 	
        22.496	  2.790e-02 	
        22.560	  2.860e-02 	
        22.624	  2.930e-02 	
        22.688	  3.010e-02 	
        22.751	  3.090e-02 	
        22.816	  3.180e-02 	
        22.880	  3.270e-02 	
        22.944	  3.370e-02 	
        23.008	  3.470e-02 	
        23.071	  3.580e-02 	
        23.135	  3.680e-02 	
        23.232	  3.800e-02 	
        23.296	  3.910e-02 	
        23.360	  4.040e-02 	
        23.424	  4.120e-02 	
        23.487	  4.160e-02 	
        23.551	  4.160e-02 	
        23.616	  4.140e-02 	
        23.680	  4.100e-02 	
        23.744	  4.040e-02 	
        23.808	  3.980e-02 	
        23.872	  3.910e-02 	
        23.935	  3.850e-02 	
        24.032	  3.780e-02 	
        24.096	  3.720e-02 	
        24.160	  3.650e-02 	
        24.225	  3.580e-02 	
        24.287	  3.520e-02 	
        24.351	  3.460e-02 	
        24.416	  3.410e-02 	
        24.480	  3.370e-02 	
        24.544	  3.340e-02 	
        24.608	  3.330e-02 	
        24.672	  3.320e-02 	
        24.735	  3.330e-02 	
        24.832	  3.340e-02 	
        24.896	  3.370e-02 	
        24.959	  3.410e-02 	
        25.024	  3.450e-02 	
        25.088	  3.500e-02 	
        25.151	  3.550e-02 	
        25.216	  3.610e-02 	
        25.280	  3.680e-02 	
        25.343	  3.750e-02 	
        25.408	  3.820e-02 	
        25.472	  3.900e-02 	
        25.535	  3.980e-02 	
        25.632	  4.060e-02 	
        25.695	  4.140e-02 	
        25.760	  4.220e-02 	
        25.823	  4.300e-02 	
        25.888	  4.390e-02 	
        25.951	  4.470e-02 	
        26.016	  4.560e-02 	
        26.080	  4.630e-02 	
        26.144	  4.670e-02 	
        26.208	  4.680e-02 	
        26.271	  4.670e-02 	
        26.335	  4.650e-02 	
        26.432	  4.610e-02 	
        26.495	  4.570e-02 	
        26.560	  4.540e-02 	
        26.624	  4.500e-02 	
        26.688	  4.470e-02 	
        26.751	  4.440e-02 	
        26.816	  4.410e-02 	
        26.880	  4.390e-02 	
        26.943	  4.360e-02 	
        27.008	  4.310e-02 	
        27.071	  4.240e-02 	
        27.135	  4.160e-02 	
        27.231	  4.080e-02 	
        27.296	  4.020e-02 	
        27.360	  3.990e-02 	
        27.423	  3.980e-02 	
        27.488	  3.990e-02 	
        27.552	  4.020e-02 	
        27.616	  4.070e-02 	
        27.680	  4.130e-02 	
        27.744	  4.210e-02 	
        27.808	  4.290e-02 	
        27.872	  4.380e-02 	
        27.936	  4.480e-02 	
        28.000	  4.580e-02 	
        28.096	  4.690e-02 	
        28.160	  4.790e-02 	
        28.224	  4.900e-02 	
        28.288	  5.010e-02 	
        28.351	  5.110e-02 	
        28.416	  5.220e-02 	
        28.480	  5.320e-02 	
        28.544	  5.410e-02 	
        28.608	  5.480e-02 	
        28.672	  5.550e-02 	
        28.736	  5.600e-02 	
        28.800	  5.610e-02 	
        28.896	  5.570e-02 	
