;PC Software:StarLab Version 3.80 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:23/11/2022 at 17:17:53
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:947746)  VG2.54 (s/n:858327)

;Channel A:Details
;Name:3A
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:164.6mW             
;Max:172.1mW             
;Average:169.2mW             
;Std.Dev.:1.492mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 23/11/2022 at 17:17:53
  Timestamp   	  Channel A  	
         0.000	  1.710e-01 	
         0.064	  1.710e-01 	
         0.127	  1.710e-01 	
         0.191	  1.711e-01 	
         0.256	  1.712e-01 	
         0.351	  1.712e-01 	
         0.416	  1.714e-01 	
         0.479	  1.715e-01 	
         0.543	  1.716e-01 	
         0.607	  1.716e-01 	
         0.671	  1.717e-01 	
         0.735	  1.717e-01 	
         0.800	  1.717e-01 	
         0.863	  1.717e-01 	
         0.927	  1.717e-01 	
         0.991	  1.716e-01 	
         1.056	  1.716e-01 	
         1.152	  1.715e-01 	
         1.215	  1.714e-01 	
         1.279	  1.712e-01 	
         1.344	  1.711e-01 	
         1.407	  1.711e-01 	
         1.472	  1.711e-01 	
         1.535	  1.711e-01 	
         1.600	  1.712e-01 	
         1.664	  1.712e-01 	
         1.727	  1.713e-01 	
         1.791	  1.713e-01 	
         1.855	  1.714e-01 	
         1.952	  1.714e-01 	
         2.016	  1.713e-01 	
         2.079	  1.713e-01 	
         2.144	  1.713e-01 	
         2.207	  1.713e-01 	
         2.271	  1.713e-01 	
         2.335	  1.714e-01 	
         2.399	  1.715e-01 	
         2.463	  1.716e-01 	
         2.527	  1.717e-01 	
         2.591	  1.718e-01 	
         2.656	  1.719e-01 	
         2.752	  1.719e-01 	
         2.815	  1.719e-01 	
         2.880	  1.719e-01 	
         2.943	  1.719e-01 	
         3.007	  1.718e-01 	
         3.071	  1.718e-01 	
         3.136	  1.717e-01 	
         3.199	  1.716e-01 	
         3.263	  1.715e-01 	
         3.328	  1.713e-01 	
         3.392	  1.712e-01 	
         3.455	  1.711e-01 	
         3.552	  1.710e-01 	
         3.615	  1.710e-01 	
         3.680	  1.710e-01 	
         3.743	  1.710e-01 	
         3.807	  1.709e-01 	
         3.871	  1.708e-01 	
         3.935	  1.707e-01 	
         3.999	  1.707e-01 	
         4.063	  1.707e-01 	
         4.127	  1.707e-01 	
         4.191	  1.707e-01 	
         4.255	  1.707e-01 	
         4.352	  1.707e-01 	
         4.416	  1.707e-01 	
         4.480	  1.707e-01 	
         4.543	  1.707e-01 	
         4.607	  1.707e-01 	
         4.671	  1.707e-01 	
         4.736	  1.707e-01 	
         4.800	  1.708e-01 	
         4.863	  1.708e-01 	
         4.927	  1.708e-01 	
         4.991	  1.708e-01 	
         5.056	  1.708e-01 	
         5.152	  1.708e-01 	
         5.215	  1.708e-01 	
         5.279	  1.708e-01 	
         5.344	  1.708e-01 	
         5.407	  1.708e-01 	
         5.471	  1.708e-01 	
         5.535	  1.709e-01 	
         5.600	  1.709e-01 	
         5.664	  1.709e-01 	
         5.728	  1.708e-01 	
         5.791	  1.709e-01 	
         5.855	  1.709e-01 	
         5.951	  1.709e-01 	
         6.015	  1.709e-01 	
         6.079	  1.709e-01 	
         6.143	  1.709e-01 	
         6.207	  1.710e-01 	
         6.272	  1.710e-01 	
         6.336	  1.710e-01 	
         6.400	  1.710e-01 	
         6.464	  1.710e-01 	
         6.527	  1.711e-01 	
         6.591	  1.711e-01 	
         6.656	  1.712e-01 	
         6.751	  1.712e-01 	
         6.816	  1.712e-01 	
         6.879	  1.712e-01 	
         6.943	  1.711e-01 	
         7.007	  1.710e-01 	
         7.071	  1.710e-01 	
         7.136	  1.711e-01 	
         7.199	  1.712e-01 	
         7.263	  1.713e-01 	
         7.328	  1.714e-01 	
         7.391	  1.715e-01 	
         7.456	  1.715e-01 	
         7.552	  1.716e-01 	
         7.616	  1.716e-01 	
         7.680	  1.716e-01 	
         7.743	  1.716e-01 	
         7.807	  1.715e-01 	
         7.871	  1.715e-01 	
         7.936	  1.714e-01 	
         8.000	  1.714e-01 	
         8.064	  1.713e-01 	
         8.127	  1.712e-01 	
         8.191	  1.712e-01 	
         8.256	  1.711e-01 	
         8.352	  1.711e-01 	
         8.415	  1.711e-01 	
         8.479	  1.711e-01 	
         8.543	  1.711e-01 	
         8.607	  1.711e-01 	
         8.672	  1.711e-01 	
         8.735	  1.711e-01 	
         8.800	  1.711e-01 	
         8.863	  1.711e-01 	
         8.928	  1.712e-01 	
         8.991	  1.712e-01 	
         9.055	  1.712e-01 	
         9.152	  1.712e-01 	
         9.216	  1.713e-01 	
         9.279	  1.713e-01 	
         9.344	  1.712e-01 	
         9.407	  1.712e-01 	
         9.471	  1.712e-01 	
         9.536	  1.712e-01 	
         9.599	  1.712e-01 	
         9.664	  1.712e-01 	
         9.727	  1.712e-01 	
         9.791	  1.713e-01 	
         9.855	  1.713e-01 	
         9.952	  1.713e-01 	
        10.016	  1.713e-01 	
        10.080	  1.713e-01 	
        10.143	  1.713e-01 	
        10.207	  1.713e-01 	
        10.271	  1.713e-01 	
        10.336	  1.713e-01 	
        10.400	  1.712e-01 	
        10.464	  1.712e-01 	
        10.528	  1.711e-01 	
        10.591	  1.711e-01 	
        10.656	  1.710e-01 	
        10.752	  1.710e-01 	
        10.815	  1.710e-01 	
        10.879	  1.710e-01 	
        10.943	  1.710e-01 	
        11.007	  1.710e-01 	
        11.072	  1.709e-01 	
        11.135	  1.709e-01 	
        11.200	  1.709e-01 	
        11.264	  1.709e-01 	
        11.327	  1.709e-01 	
        11.392	  1.709e-01 	
        11.456	  1.708e-01 	
        11.520	  1.708e-01 	
        11.615	  1.708e-01 	
        11.679	  1.708e-01 	
        11.744	  1.708e-01 	
        11.807	  1.708e-01 	
        11.872	  1.709e-01 	
        11.936	  1.709e-01 	
        11.999	  1.709e-01 	
        12.064	  1.710e-01 	
        12.127	  1.710e-01 	
        12.191	  1.710e-01 	
        12.255	  1.711e-01 	
        12.320	  1.711e-01 	
        12.415	  1.712e-01 	
        12.480	  1.712e-01 	
        12.543	  1.711e-01 	
        12.607	  1.711e-01 	
        12.672	  1.711e-01 	
        12.736	  1.712e-01 	
        12.799	  1.712e-01 	
        12.864	  1.712e-01 	
        12.928	  1.712e-01 	
        12.991	  1.711e-01 	
        13.055	  1.711e-01 	
        13.120	  1.710e-01 	
        13.215	  1.710e-01 	
        13.279	  1.709e-01 	
        13.344	  1.709e-01 	
        13.407	  1.709e-01 	
        13.472	  1.708e-01 	
        13.536	  1.708e-01 	
        13.600	  1.707e-01 	
        13.663	  1.706e-01 	
        13.727	  1.706e-01 	
        13.792	  1.705e-01 	
        13.855	  1.705e-01 	
        13.920	  1.705e-01 	
        14.015	  1.705e-01 	
        14.080	  1.705e-01 	
        14.144	  1.705e-01 	
        14.207	  1.705e-01 	
        14.272	  1.705e-01 	
        14.335	  1.705e-01 	
        14.400	  1.705e-01 	
        14.463	  1.705e-01 	
        14.528	  1.705e-01 	
        14.592	  1.706e-01 	
